,Machine ID,Location,Description,Score,Model,Operating Hours,Maintenance History,Age (Years),Usage Frequency,Environmental Conditions,Error Counts
0,G,New York,Packaging machine,81,P200,1500,2,1,Medium,Clean,1
1,H,Los Angeles,CNC mill,89,M500,3500,4,4,High,Oily,4
2,I,Chicago,Welding robot,75,W100,4900,5,6,Medium,Hot,2
3,J,Houston,Compressor,83,C350,2800,3,3,Low,Moist,0
4,K,Phoenix,Assembly line,91,A750,6000,7,9,High,Dusty,6
5,L,Miami,Drill press,87,D100,1200,1,2,Low,Moderate,3
6,M,Seattle,Lathe machine,82,L200,4100,3,5,Medium,Cold,1
7,N,Denver,Plasma cutter,79,P300,3200,4,3,High,Elevated,5
8,O,Atlanta,Sandblaster,88,S400,2300,2,4,Medium,Dusty,2
9,P,Boston,Water jet,85,W500,5400,5,7,High,Wet,4
10,Q,San Francisco,Generator,80,G500,4200,3,5,High,Stable,2
11,R,Dallas,Pump system,92,PS100,2100,1,2,Medium,Variable,5
12,S,Orlando,CNC router,86,CR200,3300,2,4,Low,Humid,3
13,T,Detroit,Laser cutter,77,LC300,4900,6,7,High,Cool,1
14,U,Las Vegas,Milling machine,93,MM400,3100,4,3,Medium,Hot,4
15,V,Philadelphia,Air compressor,84,AC100,2200,3,4,Medium,Dry,2
16,W,San Diego,3D printer,90,3DP200,4600,2,2,High,Controlled,3
17,X,Nashville,Hydraulic press,85,HP300,3100,6,7,Low,Heavy,4
18,Y,Minneapolis,Vacuum pump,88,VP400,5400,1,3,High,Clean,1
19,Z,Tampa,CNC lathe,79,CL500,2800,5,6,Medium,Varied,5
